title,year,imdb_id,note
2001: A Space Odyssey - A Look Behind the Future,1966,tt3323366,
Voltron: Defender of the Universe,1984,tt0086824,
Breaking Bad,2008,tt0903747,
Game of Thrones,2011,tt0944947,
Dexter,2006,tt0773262,
Ferry: The Series,2023,tt28466970,
The Game of Thrones Reunion Hosted by Conan O'Brien,2021,,
Dexter: Resurrection,2025,tt33043892,
Vicky the Viking,1974,tt0278855,
Black Mirror,2011,tt2085059,
Better Call Saul,2015,tt3032476,
Fargo,2014,tt2802850,
The Man in the High Castle,2015,tt1740299,
Casper And The Angels,1979,tt0190900,
The Last Czars,2019,tt7949606,
House of the Dragon,2022,tt11198330,
